101002446,检测到Post请求传输PHP代码,,
101002639,检测到Uri使用Php配置选项Allow_Url_Include尝试,,
101002640,疑似发现在请求uri中对php安全模式配置,,
101002641,Uri中存在Suhosin.Simulation Php配置选项尝试,,
101002643,在Uri尝试中打开_Basedir Php Config选项,,
101002644,Uri尝试中使用Auto_Prepend_File Php 配置选项(CVE-2012-1823/CVE-2012-2311),CVE-2012-1823 CVE-2012-2311 CVE-2012-2335 CVE-2012-2336,符合
101002647,疑似SQL注入 - Body中发现Xp_Cmdshell,,
101002661,发现Webshell通用Asp文件上传尝试,,
101002750,Invision Board phpinfo.php远程信息泄露漏洞（CVE-2002-1149）,CVE-2002-1149,
101003129,检测到admin用户登录Phpmyadmin面板行为,,
101003220,检测到通用文件上传（PHP）,,
101003235,检测到ASP文件上传行为,,
103004003,对Chr函数的大量调用-疑似Sql注入,,
103004164,检测到访问scripts目录行为,,
103004173,检测到访问敏感目录 /Scripts/Samples/,,
103004182,检测到cmd.exe命令执行,,
103004186,检测到访问敏感目录Iissamples,,
103004188,疑似CodeRed V2蠕虫病毒安装root.exe后门,,
103004189,检测到可疑的repost.asp访问行为,,
103004279,疑似使用Concat函数和Select-liked进行Sql注入,,
103018886,检测到通用文件上传行为,,
103018945,检测到/cvs/目录访问,,
103019716,检测到跨站脚本攻击（uri）,,
103019856,Adobe ColdFusion 信息泄露漏洞（CVE-2013-0632）,CVE-2013-0632,
103020353,请求体中发现可疑的Curl用法,,
103020370,检测到敏感文件访问尝试（/etc/passwd）,,
103020372,URL中出现目录穿越行为尝试,,
103020506,检测到Druid未授权访问尝试,,
103020658,检测到目录遍历攻击行为(CVE-2008-2938),CVE-2008-2938,
103020659,疑似Apache Tomcat DefaultServlet文件泄露(CVE-2002-1148),CVE-2002-1148,
103020665,Spring Data Commons和Spring Data REST 输入验证错误漏洞(CVE-2018-1273),CVE-2018-1273,
103020666,Oracle 9i默认配置文件信息泄露（soapConfig.xml）(CVE-2002-0568),CVE-2002-0568,
103020667,Oracle 9i默认配置文件信息泄露（XSQLConfig.xml）(CVE-2002-0568),CVE-2002-0568,
103020717,检测到疑似脚本源码访问尝试,,
103020868,金蝶目录遍历漏洞尝试,,
